2019-11-10 12:09:47.207 [main] [AbstractTestContextBootstrapper.java:308] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.springweb.HelloServiceTest], using SpringBootContextLoader 
2019-11-10 12:09:47.227 [main] [AbstractContextLoader.java:264] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.springweb.HelloServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
2019-11-10 12:09:47.227 [main] [AnnotationConfigContextLoaderUtils.java:83] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.springweb.HelloServiceTest]: HelloServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2019-11-10 12:09:47.456 [main] [SpringBootTestContextBootstrapper.java:235] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.springweb.SpringWebApplication for test class com.example.springweb.HelloServiceTest 
2019-11-10 12:09:47.566 [main] [AbstractTestContextBootstrapper.java:248] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2019-11-10 12:09:47.646 [main] [AbstractTestContextBootstrapper.java:177] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@14dd7b39, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@66ea810, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6cd24612, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5dafbe45, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2254127a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@51891008, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2f953efd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@f68f0dc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@d2de489, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@14bdbc74, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@12591ac8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5a7fe64f] 
2019-11-10 12:09:48.045 [main] [StartupInfoLogger.java:50] INFO  com.example.springweb.HelloServiceTest - Starting HelloServiceTest on DESKTOP-HFR7PL6 with PID 23632 (started by Wdy in C:\Users\Wdy-Admin\Desktop\lab3\spring-web) 
2019-11-10 12:09:48.048 [main] [SpringApplication.java:647] INFO  com.example.springweb.HelloServiceTest - No active profile set, falling back to default profiles: default 
2019-11-10 12:09:51.256 [main] [ExecutorConfigurationSupport.java:171] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2019-11-10 12:09:51.458 [main] [WelcomePageHandlerMapping.java:58] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index 
2019-11-10 12:09:51.941 [main] [StartupInfoLogger.java:59] INFO  com.example.springweb.HelloServiceTest - Started HelloServiceTest in 4.226 seconds (JVM running for 7.25) 
2019-11-10 12:09:52.246 [main] [HikariDataSource.java:110] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
2019-11-10 12:09:52.508 [main] [HikariDataSource.java:123] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
2019-11-10 12:09:52.757 [main] [AbstractTestContextBootstrapper.java:308] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.springweb.SpringWebApplicationTests], using SpringBootContextLoader 
2019-11-10 12:09:52.757 [main] [AbstractContextLoader.java:264] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.springweb.SpringWebApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2019-11-10 12:09:52.757 [main] [AnnotationConfigContextLoaderUtils.java:83] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.springweb.SpringWebApplicationTests]: SpringWebApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2019-11-10 12:09:52.757 [main] [SpringBootTestContextBootstrapper.java:235] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.springweb.SpringWebApplication for test class com.example.springweb.SpringWebApplicationTests 
2019-11-10 12:09:52.757 [main] [AbstractTestContextBootstrapper.java:248] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2019-11-10 12:09:52.767 [main] [AbstractTestContextBootstrapper.java:177] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2b2954e1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@58d6e55a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@751ae8a4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@235d659c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4232b34a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2da16263, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@f5ce0bb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@47e51549, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@101a461c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@360e9c06, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5ebffb44, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@311ff287] 
2019-11-10 12:09:52.863 [Thread-3] [ExecutorConfigurationSupport.java:208] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
2019-11-10 12:09:52.866 [Thread-3] [HikariDataSource.java:350] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated... 
2019-11-10 12:09:52.878 [Thread-3] [HikariDataSource.java:352] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed. 
